﻿序號,縣市,監測日期,測站,二氧化硫 SO2 (ppb),一氧化碳 CO (ppm),二氧化碳 CO2 (ppm),臭氧 O3 (ppb),懸浮微粒 PM 10 (μg/m 3 ),細懸浮微粒 PM 2.5 (μg/m 3 ),氮氧化物 NOx (ppb),一氧化氮 NO (ppb),二氧化氮 NO2 (ppb),總碳氫化合物 THC (ppm),非甲烷碳氫化合物 NMHC (ppm),甲烷 CH4 (ppm),風速 WIND_SPEED (m/sec),小時風速值 WS_HR (m/sec),溫度 AMB_TEMP (℃),降雨強度 RAIN_INT (㎜),酸雨 PH_RAIN (pH),相對濕度 RH (percent),導電度 RAIN_COND (μmho/cm) 
1.0,臺北市,2016/06/30,松山,2.8925399644760215,0.3237253141831239,418.099606741573,20.998176845943483,28.46985815602837,10.0,15.492588130298973,4.993145917001338,10.49875502008032,1.962395929694727,0.1640786308973173,1.798708603145236,2.258779692594318,1.9157396173588428,29.083852459016395,1.6875571177504394,2.171511423550088,76.10234438891413,11.340052724077328
2.0,臺北市,2016/06/30,松山,4.0,0.45,430.71,21.3,25.0,10.807743658210947,26.92,9.23,17.69,1.939,0.182,1.757,1.34,0.89,29.49,1.6875571177504394,2.171511423550088,69.88,11.340052724077328
3.0,臺北市,2016/06/30,古亭,2.8925399644760215,0.3237253141831239,418.099606741573,20.998176845943483,28.46985815602837,10.0,15.492588130298973,4.993145917001338,10.49875502008032,1.962395929694727,0.1640786308973173,1.798708603145236,2.258779692594318,1.9157396173588428,29.083852459016395,1.6875571177504394,2.171511423550088,76.10234438891413,11.340052724077328
4.0,臺北市,2016/06/30,古亭,3.1,0.54,418.099606741573,29.8,25.0,10.807743658210947,28.46,8.26,20.2,2.073,0.206,1.868,1.26,0.93,29.18,1.6875571177504394,2.171511423550088,72.45,11.340052724077328
5.0,臺北市,2016/06/30,中山,2.8925399644760215,0.3237253141831239,418.099606741573,20.998176845943483,28.46985815602837,9.0,15.492588130298973,4.993145917001338,10.49875502008032,1.962395929694727,0.1640786308973173,1.798708603145236,2.258779692594318,1.9157396173588428,29.083852459016395,1.6875571177504394,2.171511423550088,76.10234438891413,11.340052724077328
6.0,臺北市,2016/06/30,中山,4.9,0.65,418.099606741573,23.3,29.0,10.807743658210947,35.75,10.31,25.44,2.076,0.209,1.867,1.43,0.79,30.06,1.6875571177504394,2.171511423550088,73.89,11.340052724077328
7.0,臺北市,2016/06/30,大同,2.8925399644760215,0.3237253141831239,418.099606741573,20.998176845943483,28.46985815602837,13.0,15.492588130298973,4.993145917001338,10.49875502008032,1.962395929694727,0.1640786308973173,1.798708603145236,2.258779692594318,1.9157396173588428,29.083852459016395,1.6875571177504394,2.171511423550088,76.10234438891413,11.340052724077328
8.0,臺北市,2016/06/30,大同,4.1,1.63,418.099606741573,20.998176845943483,52.0,10.807743658210947,68.25,38.39,29.86,2.572,0.504,2.068,2.258779692594318,1.9157396173588428,29.083852459016395,1.6875571177504394,2.171511423550088,76.10234438891413,11.340052724077328
9.0,臺北市,2016/06/30,萬華,2.8925399644760215,0.3237253141831239,418.099606741573,20.998176845943483,28.46985815602837,12.0,15.492588130298973,4.993145917001338,10.49875502008032,1.962395929694727,0.1640786308973173,1.798708603145236,2.258779692594318,1.9157396173588428,29.083852459016395,1.6875571177504394,2.171511423550088,76.10234438891413,11.340052724077328
10.0,臺北市,2016/06/30,萬華,3.3,0.63,418.099606741573,25.1,27.0,10.807743658210947,30.79,7.02,23.77,1.962395929694727,0.1640786308973173,1.798708603145236,1.13,0.82,30.28,1.6875571177504394,2.171511423550088,71.88,11.340052724077328
